GaiaEDR3,specClass
587953535032442624,DZ
587953535032442624,DZ
587993942084898944,DA
588015867892630272,STAR
588040469465211904,STAR
588062253539347200,DA
588062253539347200,DA
588063421770438400,DA
588063421770438400,DA
588078329602228992,DA
588078329602228992,DA
588112792419643136,DB
588134026738024704,DA
588134026738024704,DA
588237415191007232,DA
588252052439384064,DB
588293662082044032,DB
588293662082044032,DB
588303042290599168,DA
588303317168531840,DA
588328678950739968,DA
588332900903805824,DQ
588349771535238912,DC
588388082642943616,DA
588388220081897984,DB
588388220081897984,DB
588553318625264512,STAR
588589465069543296,STAR
588639321049959296,DBA
588666224725357312,DA
588707525131257984,DC
588707525131257984,DC
588723639847804160,DA
588723639847804160,DA
588727213260614272,DA
588727213260614272,DA
588778993386454144,DA
588780608294159360,STAR
588813460499195264,DA
588990756749380864,DA_MS
588990756749380864,DA_MS
589015633199944064,DA
589112493302451072,DA
589157603343407744,DA
589197288841336064,DB
589285627728700160,DA
589288754464904576,DA_MS
589288754464904576,DA_MS
589315589420392064,STAR
589429801190998912,DA
589429801190998912,DA
589502472037860352,DA
589517899560523520,DA
589552499817065600,MWD
589626338894568320,DB
589626338894568320,DB
589674614326779136,PG1159
589674614326779136,DAO
590009587416046720,DA
590038415236778240,DA
590047834100654976,DC
590054976630524416,STAR
590127956715333632,DA
590130911652126720,DA
590132251681928576,DB
590132251681928576,DB
590139261068595712,DA
